algorithm,average time,total time,best time,worst time,number iterations,world file
Simple,5.021189212799072,20.08475685119629,5.002241611480713,5.0506508350372314,4,star.tmj
Convolutional,0.018345355987548828,0.07338142395019531,0.017539501190185547,0.01878499984741211,4,star.tmj
ExpandingWavefront,0.8281295299530029,3.3125181198120117,0.7466347217559814,0.9125068187713623,4,star.tmj
Simple,6.76011848449707,27.04047393798828,6.7024312019348145,6.814118385314941,4,large-field-large-explored.tmj
Convolutional,0.019757747650146484,0.07903099060058594,0.018619775772094727,0.020847320556640625,4,large-field-large-explored.tmj
ExpandingWavefront,0.2995128035545349,1.1980512142181396,0.29801392555236816,0.3010437488555908,4,large-field-large-explored.tmj
Simple,3.3754109144210815,13.501643657684326,3.3672773838043213,3.3838701248168945,4,large-field-medium-explored.tmj
Convolutional,0.018893659114837646,0.07557463645935059,0.018017292022705078,0.02002429962158203,4,large-field-medium-explored.tmj
ExpandingWavefront,0.18599283695220947,0.7439713478088379,0.184190034866333,0.1878516674041748,4,large-field-medium-explored.tmj
