algorithm,average time,total time,best time,worst time,number iterations,world file
Simple,11.557630950212479,462.30523800849915,11.206529140472412,11.859020233154297,40,star.tmj
Convolutional-(8x8),0.06210228204727173,2.484091281890869,0.0590670108795166,0.07363247871398926,40,star.tmj
Convolutional-(16x16),0.01906890273094177,0.7627561092376709,0.01750946044921875,0.023541688919067383,40,star.tmj
Convolutional-(32x32),0.0080069899559021,0.320279598236084,0.006999015808105469,0.012506723403930664,40,star.tmj
Convolutional-(64x64),0.0050673425197601315,0.20269370079040527,0.003997087478637695,0.010362386703491211,40,star.tmj
Convolutional-(128x128),0.004005038738250732,0.1602015495300293,0.0029997825622558594,0.005513191223144531,40,star.tmj
ExpandingWavefront,0.7050750315189361,28.203001260757446,0.700472354888916,0.7179667949676514,40,star.tmj
NaiveActiveArea,0.3093737423419952,12.37494969367981,0.30147504806518555,0.37218523025512695,40,star.tmj
Simple,6.754696500301361,270.18786001205444,6.6892900466918945,6.851524829864502,40,large-field-large-explored.tmj
Convolutional-(8x8),0.059565645456314084,2.3826258182525635,0.057554006576538086,0.06791281700134277,40,large-field-large-explored.tmj
Convolutional-(16x16),0.01810418963432312,0.7241675853729248,0.016518115997314453,0.019788265228271484,40,large-field-large-explored.tmj
Convolutional-(32x32),0.0074131786823272705,0.2965271472930908,0.005995035171508789,0.009019136428833008,40,large-field-large-explored.tmj
Convolutional-(64x64),0.004419595003128052,0.17678380012512207,0.0035140514373779297,0.0062677860260009766,40,large-field-large-explored.tmj
Convolutional-(128x128),0.003937649726867676,0.15750598907470703,0.002991199493408203,0.006009817123413086,40,large-field-large-explored.tmj
ExpandingWavefront,0.32611294984817507,13.044517993927002,0.3211328983306885,0.3498520851135254,40,large-field-large-explored.tmj
NaiveActiveArea,0.29334720969200134,11.733888387680054,0.2902989387512207,0.30101847648620605,40,large-field-large-explored.tmj
Simple,3.3799672365188598,135.1986894607544,3.3607616424560547,3.446019411087036,40,large-field-medium-explored.tmj
Convolutional-(8x8),0.05661555528640747,2.264622211456299,0.05456280708312988,0.06575250625610352,40,large-field-medium-explored.tmj
Convolutional-(16x16),0.016939115524291993,0.6775646209716797,0.015509843826293945,0.018024921417236328,40,large-field-medium-explored.tmj
Convolutional-(32x32),0.00728195309638977,0.2912781238555908,0.006496906280517578,0.009006977081298828,40,large-field-medium-explored.tmj
Convolutional-(64x64),0.004383671283721924,0.17534685134887695,0.003988027572631836,0.005507469177246094,40,large-field-medium-explored.tmj
Convolutional-(128x128),0.0036520302295684815,0.14608120918273926,0.0024261474609375,0.005007505416870117,40,large-field-medium-explored.tmj
ExpandingWavefront,0.21607909202575684,8.643163681030273,0.21332883834838867,0.22485136985778809,40,large-field-medium-explored.tmj
NaiveActiveArea,0.16145167350769044,6.458066940307617,0.1588428020477295,0.1677103042602539,40,large-field-medium-explored.tmj
Simple,2.3992118299007417,95.96847319602966,2.362835168838501,2.606419801712036,40,medium-field-large-explored.tmj
Convolutional-(8x8),0.015013480186462402,0.6005392074584961,0.014509201049804688,0.01601696014404297,40,medium-field-large-explored.tmj
Convolutional-(16x16),0.004672902822494507,0.18691611289978027,0.003996610641479492,0.005517482757568359,40,medium-field-large-explored.tmj
Convolutional-(32x32),0.001977348327636719,0.07909393310546875,0.0009999275207519531,0.003004312515258789,40,medium-field-large-explored.tmj
Convolutional-(64x64),0.001157301664352417,0.04629206657409668,0.0009481906890869141,0.00200653076171875,40,medium-field-large-explored.tmj
Convolutional-(128x128),0.0009268760681152344,0.037075042724609375,0.0,0.0015091896057128906,40,medium-field-large-explored.tmj
ExpandingWavefront,0.219680118560791,8.78720474243164,0.21580815315246582,0.2631869316101074,40,medium-field-large-explored.tmj
NaiveActiveArea,0.2299841523170471,9.199366092681885,0.22715544700622559,0.23428559303283691,40,medium-field-large-explored.tmj
Simple,1.4978716731071473,59.91486692428589,1.488232135772705,1.5308630466461182,40,medium-field-medium-explored.tmj
Convolutional-(8x8),0.01462896466255188,0.5851585865020752,0.013514280319213867,0.016015052795410156,40,medium-field-medium-explored.tmj
Convolutional-(16x16),0.004594862461090088,0.18379449844360352,0.003998279571533203,0.006525278091430664,40,medium-field-medium-explored.tmj
Convolutional-(32x32),0.0019283294677734375,0.0771331787109375,0.0009996891021728516,0.0030019283294677734,40,medium-field-medium-explored.tmj
Convolutional-(64x64),0.0011516213417053223,0.04606485366821289,0.0005052089691162109,0.002007722854614258,40,medium-field-medium-explored.tmj
Convolutional-(128x128),0.0009647786617279052,0.03859114646911621,0.0,0.0020105838775634766,40,medium-field-medium-explored.tmj
ExpandingWavefront,0.1771388828754425,7.0855553150177,0.1745011806488037,0.18427276611328125,40,medium-field-medium-explored.tmj
NaiveActiveArea,0.2537354648113251,10.149418592453003,0.24980688095092773,0.2905111312866211,40,medium-field-medium-explored.tmj
